Sequence_ID	Organism	Fwd_primer_name	Rev_primer_name	Specimen_voucher	Country	Note	Lat_Lon	Collection_date	Collected_by			
FISHCARD_miu_088.1	Icichthys lockingtoni	MiFish Teleost	MiFish Teleost	#00-60	USA	(?) off central California		19-Nov-1999	"[RN Lea, Calif. Fish & Game]"			
FISHCARD_miu_089.1	Platichthys stellatus	MiFish Teleost	MiFish Teleost	#04-103	USA	Puget Sound:  Port Orchard NMFS salmon pens	"47.5333N,122.6667W"	1-Sep-2003	"R Burhans & M Ball, SIO Aquarium"			
FISHCARD_miu_090.1	Scopelogadus bispinosus	MiFish Teleost	MiFish Teleost	#93-300	Mexico	off Baja CA Norte	"32.2733N,119.43W"	21-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_091.1	Pleuronichthys coenosus	MiFish Teleost	MiFish Teleost	#04-103	USA	Puget Sound:  Port Orchard NMFS salmon pens	"47.5333N,122.6667W"	1-Sep-2003	"R Burhans & M Ball, SIO Aquarium"			
FISHCARD_miu_092.1	Pleuronichthys guttulatus	MiFish Teleost	MiFish Teleost	#01-179	USA	San Diego Co.: Mission Bay: off Crown Point Mitigation Site	"32.7833N,117.25W"	27-Sep-2001	"M Craig & Joel Fodrie, SIO graduate students"			
FISHCARD_miu_093.1	Ichthyococcus irregularis	MiFish Teleost	MiFish Teleost	#05-105	USA	San Diego Co.: off Point Loma	"32.6N,117.5083W"	2-Oct-2005	"P Hastings, L Levin, C Klepadlo & SIO party"			
FISHCARD_miu_094.1	Bathylagoides wesethi	MiFish Teleost	MiFish Teleost	#08-197	USA	NULL	"34.3167N,120.9333W"	6-Apr-2007	"P Davison & M Decima, SIO grad students"			
FISHCARD_miu_095.1	Melamphaes lugubris	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_096.1	Tactostoma macropus	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_097.1	Bathophilus flemingi	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_098.1	Sternoptyx diaphana	MiFish Teleost	MiFish Teleost	#05-105	USA	San Diego Co.: off Point Loma	"32.6N,117.5083W"	2-Oct-2005	"P Hastings, L Levin, C Klepadlo & SIO party"			
FISHCARD_miu_100.1	Bathophilus brevis	MiFish Teleost	MiFish Teleost	#10-167	NULL	NULL	"32.0667N,137.9167W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_101.1	Danaphos oculatus	MiFish Teleost	MiFish Teleost	#08-31	USA	California Current	"33.2N,118.5833W"	2-Apr-2007	"P Davison, SIO grad. student"			
FISHCARD_miu_103.1	Mugil setosus	MiFish Teleost	MiFish Teleost	#98-1	Mexico	south of La Bocana; high marsh pool	"26.75N,114.25W"	1-Jan-1998	"D Talley & P Dayton, SIO"			
FISHCARD_miu_104.1	Diaphus anderseni	MiFish Teleost	MiFish Teleost	#10-166	NULL	NULL	"32.1N,137.9W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_105.1	Scopelarchus guentheri	MiFish Teleost	MiFish Teleost	#10-166	NULL	NULL	"32.1N,137.9W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_106.1	Remora osteochir	MiFish Teleost	MiFish Teleost	#05-36	Panama	Pinas Bay	"7.55N,78.2W"	1-Mar-2005	"J Graves, VIMS [exchange]"			
FISHCARD_miu_107.1	Diplospinus multistriatus	MiFish Teleost	MiFish Teleost	#10-166	NULL	NULL	"32.1N,137.9W"	9-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_108.1	Luvarus imperialis	MiFish Teleost	MiFish Teleost	#07-44	"Mexico, USA"	NULL		1-Feb-2007	"gift: W Morrison, fisherman"			
FISHCARD_miu_109.1	Synchiropus atrilabiatus	MiFish Teleost	MiFish Teleost	60 #06-293	NULL	NULL	"3.8867N,102.2717W"	25-Oct-2006	NULL			
FISHCARD_miu_110.1	Chesnonia verrucosa	MiFish Teleost	MiFish Teleost	#05-114	USA	off northern California	"37.9167N,122.5W"	31-Jul-2005	NULL			
FISHCARD_miu_111.1	Icelinus quadriseriatus	MiFish Teleost	MiFish Teleost	#02-19	USA	San Diego Co.: off Pacific Beach	"32.7783N,117.305W"	26-Mar-2002	"E Kisfaludy, SIO"			
FISHCARD_miu_112.1	Artedius notospilotus	MiFish Teleost	MiFish Teleost	#04-2	USA	San Diego Co.: San Diego	"32.6833N,117.2333W"	7-Jan-2004	"M Craig & J Hyde, SIO grad. students"			
FISHCARD_miu_113.1	Neoclinus blanchardi	MiFish Teleost	MiFish Teleost	#00-73	USA	Los Angeles Co.: Redondo Beach: Redondo Canyon	"33.85N,118.3833W"	19-Jul-2000	"M Craig, Occidental College"			
FISHCARD_miu_114.1	Microgadus proximus	MiFish Teleost	MiFish Teleost	#04-103	USA	Puget Sound:  Port Orchard NMFS salmon pens	"47.5333N,122.6667W"	1-Sep-2003	"R Burhans & M Ball, SIO Aquarium"			
FISHCARD_miu_116.1	Eustomias sp.	MiFish Teleost	MiFish Teleost	#10-172	NULL	NULL	"34.0667N,139.9833W"	14-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_118.1	Macropinna microstoma	MiFish Teleost	MiFish Teleost	#09-334	USA	California Current	"32.85N,120.6W"	23-Oct-2008	"P Davison, SIO"			
FISHCARD_miu_119.1	Opostomias mitsuii	MiFish Teleost	MiFish Teleost	#11-154	NULL	NULL	"43.95N,125.8333W"	26-Aug-2008	"P Davison, SIO"			
FISHCARD_miu_120.1	Photonectes margarita	MiFish Teleost	MiFish Teleost	#11-200	NULL	NULL	"35.7833N,126.9833W"	27-Sep-2008	"P Davison, SIO"			
FISHCARD_miu_121.1	Cololabis saira	MiFish Teleost	MiFish Teleost	#11-139	NULL	NULL	"41.5167N,129.9833W"	15-Aug-2008	"P Davison, SIO"			
FISHCARD_miu_122.1	Hirundichthys rondeletii	MiFish Teleost	MiFish Teleost	#11-6	NULL	NULL	"32.1N,135.4833W"	7-Aug-2009	"P Davison, SIO"			
FISHCARD_miu_123.1	Hyporhamphus naos	MiFish Teleost	MiFish Teleost	#07-190	Mexico	La Playita	"23.0333N,109.5167W"	15-Sep-2007	J Snow			
FISHCARD_miu_124.1	Loweina rara	MiFish Teleost	MiFish Teleost	#10-171	NULL	NULL	"32.8833N,140.2833W"	11-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_125.1	Diogenichthys atlanticus	MiFish Teleost	MiFish Teleost	tons	NULL	NULL			NULL			
FISHCARD_miu_126.1	Electrona risso	MiFish Teleost	MiFish Teleost	#11-274	NULL	NULL	"32.2833N,124.85W"	15-Nov-2008	"P Davison, SIO"			
FISHCARD_miu_127.1	Nannobrachium bristori	MiFish Teleost	MiFish Teleost	#10-172	NULL	NULL	"34.0667N,139.9833W"	14-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_128.1	Nannobrachium hawaiiensis	MiFish Teleost	MiFish Teleost	many	NULL	NULL			NULL			
FISHCARD_miu_129.1	Protomyctophum thompsoni	MiFish Teleost	MiFish Teleost	#11-187	NULL	NULL	"41.4N,126.3833W"	21-Sep-2008	"P Davison, SIO"			
FISHCARD_miu_130.1	Rosenblattichthys volucris	MiFish Teleost	MiFish Teleost	#06-293	NULL	NULL	"3.8867N,102.2717W"	25-Oct-2006	NULL			
FISHCARD_miu_131.1	Sebastes lentiginosus	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_132.1	Scopelarchus analis	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_133.1	Sudis atrox	MiFish Teleost	MiFish Teleost	#18-79	NULL	White Shark Cafe		15-May-2018	EJ Portner; AN Netburn; BA Block and team			
FISHCARD_miu_134.1	Cyema atrum	MiFish Teleost	MiFish Teleost	#08-49	NULL	NULL	"34.7N,123.1833W"	31-Jan-1996	"KL Smith & party, SIO"			
FISHCARD_miu_135.1	Zu cristatus	MiFish Teleost	MiFish Teleost	#10-170	NULL	NULL	"32.8833N,140.2667W"	11-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_136.1	Anoplogaster cornuta	MiFish Teleost	MiFish Teleost	#09-332	USA	California Current	"32.8167N,120.8833W"	22-Oct-2008	"P Davison, SIO"			
FISHCARD_miu_137.1	Melamphaes suborbitalis	MiFish Teleost	MiFish Teleost	#10-164	NULL	NULL	"32.0667N,137.9W"	8-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_138.1	Atherinops affinis	MiFish Teleost	MiFish Teleost	#07-157	Mexico	"Bahia de los Angeles, southern end"	"29N,113.5W"	27-Apr-2006	J Rosales & party			
FISHCARD_miu_139.1	Caranx caninus	MiFish Teleost	MiFish Teleost	#10-131	Mexico	"Islas Tres Marias: Isla Maria Magdalena, “seamount” off SE end"	"21.4483N,106.3433W"	15-Nov-2010	"G Galland & party, SIO"			
FISHCARD_miu_140.1	Pteraclis aesticola	MiFish Teleost	MiFish Teleost	#10-165	NULL	NULL	"32.0833N,137.9333W"	8-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_141.1	Brachyistius frenatus	MiFish Teleost	MiFish Teleost	#04-103	USA	Puget Sound:  Port Orchard NMFS salmon pens	"47.5333N,122.6667W"	1-Sep-2003	"R Burhans & M Ball, SIO Aquarium"			
FISHCARD_miu_142.1	Cymatogaster aggregata	MiFish Teleost	MiFish Teleost	#01-179	USA	San Diego Co.: Mission Bay: off Crown Point Mitigation Site	"32.7833N,117.25W"	27-Sep-2001	"M Craig & Joel Fodrie, SIO graduate students"			
FISHCARD_miu_143.1	Pteroplatytrygon violacea	MiFish Teleost	MiFish Teleost	#12-94	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	22-Aug-2012	commercial fishers (via J Snow)			
FISHCARD_miu_144.1	Dorosoma petenense	MiFish Teleost	MiFish Teleost	#10-78	USA	Orange Co.: Huntington Beach	"33.64N,117.98W"	17-Feb-2010	MBC App. Environ. Sci.			
FISHCARD_miu_145.1	Diplophos taenia	MiFish Teleost	MiFish Teleost	#14-18	Mexico	Cabo San Lucas	"22.8667N,109.8833W"		J Snow			
FISHCARD_miu_146.1	Prognathodes falcifer	MiFish Teleost	MiFish Teleost	#06-269	Mexico	San Benitos Islands	"28.3167N,115.5833W"	1-Jul-1999	"B Burhans, SIO Aquarium"			
FISHCARD_miu_147.1	Melichthys niger	MiFish Teleost	MiFish Teleost	#10-129	Mexico	Islas Tres Marias:  Isla Maria Magdalena - NW corner	"24.4467N,106.4983W"	15-Nov-2010	"G Galland & B Erisman, SIO"			
FISHCARD_miu_148.1	Mola mola	MiFish Teleost	MiFish Teleost	#08-1	USA	off San Nicolas Island	"33N,119.5W"	29-Nov-2007	"Capt D Muirline, SIO [via E Kisfaludi]"			
FISHCARD_miu_149.1	Ranzania laevis	MiFish Teleost	MiFish Teleost	#14-81	USA	San Diego Co.: off San Diego	"32.1N,117.4W"	4-Sep-2014	M Irey			
FISHCARD_miu_150.1	Mulloidichthys dentatus	MiFish Teleost	MiFish Teleost	#10-193	Mexico	Todos Santos Commercial  Beach	"23.41N,110.23W"	22-Dec-2010	commercial fishers [via J Snow]			
FISHCARD_miu_151.1	Mugil cephalus	MiFish Teleost	MiFish Teleost	#07-112	USA	San Diego Co.: San Diego	"32.7667N,117.2167W"	1-Apr-2004	"M Shane, Hubbs-Sea World Res. Inst."			
FISHCARD_miu_152.1	Eucinostomus gracilis	MiFish Teleost	MiFish Teleost	#10-119	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	3-Jul-2010	commercial fishermen [via J Snow]			
FISHCARD_miu_153.1	Caranx sexfasciatus	MiFish Teleost	MiFish Teleost	#16-42	Mexico	Cabo Real		19-Aug-2016	J Snow			
FISHCARD_miu_154.1	Auxis rochei	MiFish Teleost	MiFish Teleost	#12-30	Mexico	Punta Palmilla	"22.99N,109.43W"	21-Jan-2012	J Snow			
FISHCARD_miu_155.1	Auxis thazard	MiFish Teleost	MiFish Teleost	#13-7	Mexico	off Punta Palmilla	"22.99N,109.7W"	20-Nov-2012	J Snow			
FISHCARD_miu_156.1	Katsuwonus pelamis	MiFish Teleost	MiFish Teleost	#12-98	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	17-Oct-2012	commercial fishers (via J Snow)			
FISHCARD_miu_157.1	Lepidocybium flavobrunneum	MiFish Teleost	MiFish Teleost	#09-131	USA	NULL			M Irey			
FISHCARD_miu_158.1	Scomberomorus concolor	MiFish Teleost	MiFish Teleost	#11-340	Mexico	near Colorado River delta	"32.1N,115.1W"	25-Aug-2011	"via B Erisman, SIO"			
FISHCARD_miu_159.1	Trichiurus nitens	MiFish Teleost	MiFish Teleost	#08-132	Mexico	La Playita	"23.0333N,109.5167W"	10-May-2008	J Snow			
FISHCARD_miu_160.1	Amphistichus argenteus	MiFish Teleost	MiFish Teleost	#06-267; 08-178	Mexico	Bahia El Rosario	"29.95N,115.8167W"	28-Jun-1905	"J Rosales, CICESE"			
FISHCARD_miu_161.1	Amphistichus koelzi	MiFish Teleost	MiFish Teleost	#08-174	USA	Santa Cruz Co.: Seacliff Beach	"36.975N,121.9117W"	1-May-2007	"MF Westphal (via S Miller, SIO)"			
FISHCARD_miu_162.1	Hyperprosopon ellipticum	MiFish Teleost	MiFish Teleost	#08-176	USA	Arcadia Beach	"45.9N,123.95W"	10-May-2008	"MF Westphal (via S Miller, SIO)"			
FISHCARD_miu_163.1	Zalembius rosaceus	MiFish Teleost	MiFish Teleost	#11-364	USA	San Diego Co.: off Point Loma	"32.62N,117.28W"	26-Feb-2011	P Hastings & biology class			
FISHCARD_miu_164.1	Rhacochilus toxotes	MiFish Teleost	MiFish Teleost	#07-181	USA	San Diego Co.: Carlsbad kelp	"33.1233N,117.34W"	29-Apr-2004	"M Shane, Hubbs-Sea World Res. Inst."			
FISHCARD_miu_165.1	Halichoeres semicinctus	MiFish Teleost	MiFish Teleost	#04-112	Mexico	Bahia de Los Angeles:  various localities	"29N,113.5W"	11-Sep-2004	"L Allen, T Hovey & D Warren, Cal-State Northridge"			
FISHCARD_miu_166.1	Chaetodipterus zonatus	MiFish Teleost	MiFish Teleost	#09-292	Mexico	La Playita	"23.0333N,109.5167W"	29-May-2009	J Snow			
FISHCARD_miu_167.1	Kyphosus ocyurus	MiFish Teleost	MiFish Teleost	#09-161	Mexico	One and Only	"23N,109.7167W"	18-Jan-2009	J Snow			
FISHCARD_miu_168.1	Sebastes constellatus	MiFish Teleost	MiFish Teleost	#08-166	Mexico	Todos Santos Commercial Beach	"23.6833N,110.3833W"	15-Oct-2008	commercial fishermen (via J Snow)			
FISHCARD_miu_169.1	Sebastes eos	MiFish Teleost	MiFish Teleost	#07-183	USA	Monterey Co. Ascension Canyon	"36.9167N,122.4667W"	6-Nov-2007	"P Reiley, Calif. Fish &  Game"			
FISHCARD_miu_170.1	Sebastes goodei	MiFish Teleost	MiFish Teleost	#19-23	USA	"San Diego Co., off Pt. Loma"		27-Apr-2019	"BW Frable, J Taylor and SIO 125 BioMech class"			
FISHCARD_miu_171.1	Sebastes macdonaldi	MiFish Teleost	MiFish Teleost	#06-266	Mexico	Bahia de Los Angeles	"29N,113W"	25-Nov-2006	"J Hyde, SIO grad. student"			
FISHCARD_miu_172.1	Sebastes melanosema	MiFish Teleost	MiFish Teleost	#06-85	USA	north part of 9-Mile Bank	"32.5833N,117.41W"	19-Feb-2006	"J Hyde, SIO grad. student"			
FISHCARD_miu_173.1	Sebastes rosenblatti	MiFish Teleost	MiFish Teleost	#09-197	USA	Monterey Co.: Soquel Canyon	"36.75N,121.9167W"	3-Oct-2008	NULL			
FISHCARD_miu_174.1	Sebastes ruberrimus	MiFish Teleost	MiFish Teleost	#09-194	USA	Monterey Co.: Monterey Canyon	"36.75N,121.9167W"	29-Jan-2009	"P Kelly, Calif F&G"			
FISHCARD_miu_175.1	Erilepis zonifer	MiFish Teleost	MiFish Teleost	#08-79	NULL	NULL		30-Jun-1905	commercial fisherman [gift from G. Thiesfeld]			
FISHCARD_miu_176.1	Leiocottus hirundo	MiFish Teleost	MiFish Teleost	#08-60	USA	San Clemente Island	"32.9N,118.4833W"	24-Jul-2007	"P Zirofski, Sea Camp"			
FISHCARD_miu_177.1	Agonomalus mozinoi	MiFish Teleost	MiFish Teleost	#09-291	USA	"Monterey Co.: Carmel Bay, The Pinnacles, Lingcod Reef"		15-Sep-2008	"T Love & J Welsh, Monterey Bay Aquarium"			
FISHCARD_miu_178.1	Xeneretmus ritteri	MiFish Teleost	MiFish Teleost	#16-19	USA	San Diego Co.: off Point Loma	"32.6833N,117.2333W"	13-Mar-2016	P Hastings & class			
FISHCARD_miu_179.1	Cryptacanthodes aleutensis	MiFish Teleost	MiFish Teleost	#06-35	NULL	NULL			NULL			
FISHCARD_miu_180.1	Melanostigma pammelas	MiFish Teleost	MiFish Teleost	#15-43	USA	San Diego Co.: San Diego	"32.725N,117.5767W"	7-Nov-2015	"W Watcharapong, SIO"			
FISHCARD_miu_181.1	Xiphister mucosus	MiFish Teleost	MiFish Teleost	#12-91	USA	San Luis Obispo Co.: near San Simeon; intertidal	"35.6533N,121.2417W"	26-Nov-2011	"DP German & MH Horn, CSF"			
FISHCARD_miu_182.1	Albatrossia pectoralis	MiFish Teleost	MiFish Teleost	#10-31	USA	NULL	"40.9033N,124.7267W"	17-Sep-2005	NWFC/NMFS			
FISHCARD_miu_183.1	Atheresthes stomias	MiFish Teleost	MiFish Teleost	#10-32	USA	NULL	"39.64N,123.9717W"	18-Sep-2005	NWFC/NMFS			
FISHCARD_miu_184.1	Fowlerichthys avalonis	MiFish Teleost	MiFish Teleost	#15-36	USA	San Diego Co.: SIO; on beach	"32.8667N,117.25W"	13-Jul-2015	"W Watcharapong, SIO"			
FISHCARD_miu_185.1	Sebastes wilsoni	MiFish Teleost	MiFish Teleost	#97-178	USA	NULL	"37.255N,122.775W"	26-Jun-1995	A Rocha & NMFS party			
FISHCARD_miu_186.1	Hexagrammos decagrammus	MiFish Teleost	MiFish Teleost	#04-48	USA	Monterey Co.: off Asilomar	"36.75N,121.9167W"	16-May-2001	Calif. Fish & Game			
FISHCARD_miu_187.1	Rimicola muscarum	MiFish Teleost	MiFish Teleost	#03-40	USA	Santa Barbara Co.: near Goleta Pier	"34.45N,119.8333W"	31-Mar-2003	"J Fodrie, SIO grad. student"			
FISHCARD_miu_188.1	Brosmophycis marginata	MiFish Teleost	MiFish Teleost	#02-32	USA	off San Diego; found in tube of oceanographic apparatus	"32.595N,119.1433W"	16-Apr-2002	"E Oleson, SIO"			
FISHCARD_miu_189.1	Embiotoca jacksoni	MiFish Teleost	MiFish Teleost	#02-31	USA	San Diego Co.: Mission Bay	"32.7833N,117.25W"	10-Apr-2002	"J Fodrie, SIO"			
FISHCARD_miu_190.1	Gibbonsia metzi	MiFish Teleost	MiFish Teleost	#06-267	Mexico	Bahia El Rosario	"29.95N,115.8167W"	28-Jun-1905	"J Rosales, CICESE"			
FISHCARD_miu_191.1	Sebastes borealis	MiFish Teleost	MiFish Teleost	#01-186	USA	between Carmel Bay and Big Sur	"36.4417N,121.9083W"	4-Sep-2001	"gift:  RN Lea, Calif. Fish & Game"			
FISHCARD_miu_192.1	Sebastes diploproa	MiFish Teleost	MiFish Teleost	#03-164	USA	San Diego Co.: off La Jolla:  in drift kelp	"32.85N,117.8667W"	14-Jul-2003	"J Hyde, SIO grad. student"			
FISHCARD_miu_193.1	Sebastes flavidus	MiFish Teleost	MiFish Teleost	#97-182	USA	NULL	"37.575N,122.86W"	27-Jun-1995	A Rocha & NMFS party			
FISHCARD_miu_194.1	Sebastes phillipsi	MiFish Teleost	MiFish Teleost	#02-14	USA	off San Diego	"32.8N,117.8W"	3-Mar-2002	"S Grossberg & C Taylor, SIO"			
FISHCARD_miu_195.1	Sebastes proriger	MiFish Teleost	MiFish Teleost	#95-25	USA	N end of Cordell Bank	"38.0833N,123W"	30-Mar-1995	NULL			
FISHCARD_miu_196.1	Sebastes rufus	MiFish Teleost	MiFish Teleost	#95-12	USA	60-Mile Bank	"32.0833N,118.25W"	3-Oct-1994	NULL			
FISHCARD_miu_197.1	Sebastes serriceps	MiFish Teleost	MiFish Teleost	#03-164	USA	San Diego Co.: off La Jolla:  in drift kelp	"32.85N,117.8667W"	14-Jul-2003	"J Hyde, SIO grad. student"			
FISHCARD_miu_198.1	Acipenser transmontanus	MiFish Teleost	MiFish Teleost	#03-46	USA	Los Angeles Co.: Palos Verdes: Flat Rock	"33.75N,118.4333W"	25-Apr-2003	"M Craig & party, SIO"			
FISHCARD_miu_199.1	Albula pacificus	MiFish Teleost	MiFish Teleost	#00-120	USA	Orange Co.: Newport Bay	"33.625N,117.895W"	21-Aug-2000	"M Shane, Hubbs-Sea World Res. Inst."			
FISHCARD_miu_200.1	Lophotus capellei	MiFish Teleost	MiFish Teleost	#00-121	USA	San Luis Obispo Co.: Morro Bay	"35.0833N,121W"	17-Nov-1995	NULL			
FISHCARD_miu_201.1	Hyporthodus niphobles	MiFish Teleost	MiFish Teleost	#08-58	Mexico	Todos Santos (commercial beach	"23.3833N,110.2W"	23-Jan-2008	local fisherman			
FISHCARD_miu_202.1	Atherinopsis californiensis	MiFish Teleost	MiFish Teleost	#03-158	USA	San Diego Co.: La Jolla: Êbeach north of SIO 		1-Oct-2003	P Hastings			
FISHCARD_miu_203.1	Nomeus gronovii	MiFish Teleost	MiFish Teleost	#05-32	USA	"off Kona, Hawaii"	"19.64N,155.995W"	25-May-2005	J Hyde (SIO) & NMFS party			
FISHCARD_miu_204.1	Thunnus alalunga	MiFish Teleost	MiFish Teleost	#04-162	Mexico	off Baja California	"32N,117.5W"	7-Oct-2004	"via C Sepulveda, SIO grad student"			
FISHCARD_miu_205.1	Diaphus theta	MiFish Teleost	MiFish Teleost	#08-197	USA	NULL	"34.3167N,120.9333W"	6-Apr-2007	"P Davison & M Decima, SIO grad students"			
FISHCARD_miu_206.1	Sebastolobus alascanus	MiFish Teleost	MiFish Teleost	#11-187	NULL	NULL	"41.4N,126.3833W"	21-Sep-2008	"P Davison, SIO"			
FISHCARD_miu_207.1	Oneirodes eschrichtii	MiFish Teleost	MiFish Teleost	#10-110	USA	San Diego Co.: off Point Loma	"32.6367N,117.57W"	7-Aug-2010	"HJ Walker, SIO & WL Smith, Field Mus."			
FISHCARD_miu_208.1	Heterodontus francisci	MiFish Teleost	MiFish Teleost	#07-84	Mexico	Todos Santos Commercial Beach	"23.3833N,110.2W"	10-May-2007	J Snow			
FISHCARD_miu_209.1	Isurus oxyrinchus	MiFish Teleost	MiFish Teleost	#12-27	Mexico	Punta Palmilla	"22.99N,109.43W"	20-Dec-2011	J Snow			
FISHCARD_miu_210.1	Rhizoprionodon longurio	MiFish Teleost	MiFish Teleost	#13-250	Mexico	Todas Santos Commercial Beach	"23.41N,110.23W"	7-Jun-2013	commercial fishermen (via J Snow)			
FISHCARD_miu_211.1	Strongylura exilis	MiFish Teleost	MiFish Teleost	#17-17	Ecuador	"Cartago Bay, anchorage, (Albemarle Island)"	"0.5836N,90.9168W"	12-Feb-1933	NA			
FISHCARD_miu_212.1	Ariosoma gilberti	MiFish Teleost	MiFish Teleost	#12-48	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	2-Jul-2012	commercial fishers (via J Snow)			
FISHCARD_miu_213.1	Nicholsina denticulata	MiFish Teleost	MiFish Teleost	#09-367	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	12-Aug-2009	commerical fishermen [via J Snow]			
FISHCARD_miu_214.1	Lamna ditropis	MiFish Teleost	MiFish Teleost	NA	NULL	NULL			NULL			
FISHCARD_miu_215.1	Decodon melasma	MiFish Teleost	MiFish Teleost	#08-157	Mexico	Point Palmilla	"22.9833N,109.7167W"	30-Aug-2008	J Snow			
FISHCARD_miu_216.1	Eopsetta jordani	MiFish Teleost	MiFish Teleost	64 #10-49	USA	NULL	"46.5317N,124.325W"	28-Aug-2005	NWFC/NMFS			
FISHCARD_miu_217.1	Argentina sialis	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_218.1	Valenciennellus tripunctulatus	MiFish Teleost	MiFish Teleost	#10-165	NULL	NULL	"32.0833N,137.9333W"	8-Aug-2009	"P Davison, SIO grad student"			
FISHCARD_miu_219.1	Melamphaes acanthomus	MiFish Teleost	MiFish Teleost	#17-25	USA	"San Diego Co.: San Diego Trough, along Coroado Escarpment"		14-Oct-2017	BW Frable; A Sirovic and SIO 136			
FISHCARD_miu_220.1	Lutjanus peru	MiFish Teleost	MiFish Teleost	#01-100	USA	San Diego Co.: off Mission Bay jetty	"32.7833N,117.25W"	17-Jul-2001	"J Coe, skipper (via B Steele)"			
FISHCARD_miu_221.1	Lampris guttatus	MiFish Teleost	MiFish Teleost	#04-195	USA	NULL	"21.31N,157.8717W"	11-Dec-2004	"commercial longline fishing vessel (via J Hyde, SIO)"			
FISHCARD_miu_222.1	Euprotomicrus bispinatus	MiFish Teleost	MiFish Teleost	#98-173	NULL	NULL	"29.25N,144.7167W"	28-May-1997	"R Pitman, NMFS-La Jolla"			
FISHCARD_miu_224.1	Microstoma microstoma	MiFish Teleost	MiFish Teleost	#08-43	NULL	California Current	"33.7667N,120.85W"	19-Apr-2007	"P Davison, SIO grad. student"			
FISHCARD_miu_225.1	Melamphaes laeviceps	MiFish Teleost	MiFish Teleost	#06-296	NULL	NULL	"16.095N,106.6933W"	2-Nov-2006	NULL			
FISHCARD_miu_226.1	Thunnus obesus	MiFish Teleost	MiFish Teleost	#03-127	Mexico	Alijos Rocks: Butterfly Bank	"24.95N,115.75W"	27-Sep-2003	"via J Hyde, SIO grad. student"			
FISHCARD_miu_227.1	Sebastes reedi	MiFish Teleost	MiFish Teleost	#95-22	USA	"Fish Rocks, S of Point Arena"	"38.64N,123.735W"	26-Jul-1992	C Talbot			
FISHCARD_miu_228.1	Stellerina xyosterna	MiFish Teleost	MiFish Teleost	#03-93	USA	"Monterey Co.: Monterey Bay: Capitola, “just right of the pier”"	"36.97N,121.9533W"	10-Oct-2002	"UCSC Ichthyology Class [via RN Lea, Calif. Fish & Game)"			
FISHCARD_miu_229.1	Xeneretmus leiops	MiFish Teleost	MiFish Teleost	#99-81	USA	Monterey Co.: N side of Monterey Canyon (between Point Sur & Monterey Bay)	"36.5167N,121.9083W"	3-Mar-1999	P Reilly & J Spratt			
FISHCARD_miu_230.1	Congriscus megastomus	MiFish Teleost	MiFish Teleost	#94-160	USA	NULL	"32.7883N,117.51W"	6-Jul-1993	MS Lowery & party			
FISHCARD_miu_231.1	Leuroglossus stilbius	MiFish Teleost	MiFish Teleost	#93-299	USA	NULL	"36.1867N,121.915W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_232.1	Pseudobathylagus milleri	MiFish Teleost	MiFish Teleost	#93-298	USA	NULL	"36.7733N,122.58W"	20-Nov-1993	"P Smith & party, NMFS"			
FISHCARD_miu_233.1	Rathbunella hypoplecta	MiFish Teleost	MiFish Teleost	#03-60	USA	San Diego Co.: La Jolla: Scripps Canyon	"32.8667N,117.2667W"	30-May-2003	"J Hyde, SIO grad student"			
FISHCARD_miu_235.1	Porichthys notatus	MiFish Teleost	MiFish Teleost	#95-3	USA	San Diego Co.: off Point Loma	"32.74N,117.3483W"	4-Mar-1995	"R Rosenblatt & party, SIO"			
