Number	Species	Barcoded in This Study	GenBank	FishCARD
202	Cyclothone acclinidens	Yes	No	Yes
203	Cyclothone atraria	Yes	No	Yes
204	Cyclothone pallida	Yes	No	Yes
205	Cyclothone pseudopallida	Yes	No	Yes
206	Cyclothone signata	No	No	No
207	Cyema atrum	Yes	Yes	Yes
208	Cymatogaster aggregata	Yes	Yes	Yes
209	Cynoscion parvipinnis	Yes	No	Yes
210	Danaphos oculatus	Yes	No	Yes
211	Decapterus muroadsi	Yes	Yes	Yes
212	Decodon melasma	Yes	No	Yes
213	Dermatolepis dermatolepis	Yes	No	Yes
214	Desmodema lorum	Yes	Yes	Yes
215	Diaphus anderseni	Yes	Yes	Yes
216	Diaphus theta	Yes	Yes	Yes
217	Diodon eydouxii	No	Yes	Yes
218	Diodon holocanthus	Yes	Yes	Yes
219	Diodon hystrix	Yes	Yes	Yes
220	Diogenichthys atlanticus	Yes	Yes	Yes
221	Diogenichthys laternatus	Yes	Yes	Yes
222	Diplectrum maximum	Yes	No	Yes
223	Diplophos taenia	Yes	Yes	Yes
224	Diplospinus multistriatus	Yes	Yes	Yes
225	Dolicholagus longirostris	No	No	No
226	Dolichopteryx longipes	Yes	No	Yes
227	Dormitator latifrons	Yes	No	Yes
228	Dorosoma petenense	Yes	Yes	Yes
229	Echeneis naucrates	Yes	Yes	Yes
230	Echinorhinus cookei	No	Yes	Yes
231	Elassodiscus caudatus	Yes	Yes	Yes
232	Electrona risso	Yes	Yes	Yes
233	Elops affinis	Yes	No	Yes
234	Embassichthys bathybius	Yes	Yes	Yes
235	Embiotoca jacksoni	Yes	Yes	Yes
236	Embiotoca lateralis	Yes	Yes	Yes
237	Engraulis mordax	Yes	Yes	Yes
238	Engyophrys sanctilaurentii	No	No	No
239	Enophrys bison	Yes	Yes	Yes
240	Enophrys taurina	No	No	No
241	Eopsetta jordani	Yes	Yes	Yes
242	Epinephelus analogus	Yes	No	Yes
243	Epinephelus labriformis	No	No	No
244	Eptatretus deani	Yes	No	Yes
245	Eptatretus mcconnaugheyi	No	No	No
246	Eptatretus stoutii	Yes	No	Yes
247	Erilepis zonifer	Yes	Yes	Yes
248	Ernogrammus walkeri	No	No	No
249	Esselenichthys carli	Yes	No	Yes
250	Esselenichthys laurae	No	No	No
251	Etrumeus acuminatus	No	No	No
252	Etrumeus teres	No	Yes	Yes
253	Eucinostomus argenteus	Yes	No	Yes
254	Eucinostomus currani	Yes	No	Yes
255	Eucinostomus dowii	No	No	No
256	Eucinostomus gracilis	Yes	No	Yes
257	Eucryphycus californicus	Yes	No	Yes
258	Eucyclogobius kristinae	No	No	No
259	Eucyclogobius newberryi	No	Yes	Yes
260	Euleptorhamphus viridis	No	Yes	Yes
261	Euprotomicrus bispinatus	Yes	No	Yes
262	Eurypharynx pelecanoides	Yes	Yes	Yes
263	Eutaeniophorus festivus	No	Yes	Yes
264	Euthynnus affinis	No	Yes	Yes
265	Euthynnus lineatus	Yes	No	Yes
266	Facciolella equatorialis	No	No	No
267	Facciolella gilbertii	Yes	Yes	Yes
268	Fistularia commersonii	No	Yes	Yes
269	Fistularia corneta	Yes	No	Yes
270	Fodiator acutus	Yes	No	Yes
