Number	Species	Barcoded in This Study	GenBank	FishCARD
600	Pleuronichthys ritteri	Yes	No	Yes
601	Pleuronichthys verticalis	Yes	Yes	Yes
602	Podothecus accipenserinus	Yes	Yes	Yes
603	Poecilia latipinna	No	Yes	Yes
604	Polydactylus approximans	Yes	No	Yes
605	Polydactylus opercularis	No	No	No
606	Pomacanthus zonipectus	Yes	No	Yes
607	Porichthys myriaster	Yes	Yes	Yes
608	Porichthys notatus	Yes	Yes	Yes
609	Poroclinus rothrocki	Yes	Yes	Yes
610	Poromitra crassiceps	Yes	No	Yes
611	Poromitra megalops	No	No	No
612	Prionace glauca	Yes	Yes	Yes
613	Prionotus stephanophrys	Yes	No	Yes
614	Pristigenys serrula	Yes	No	Yes
615	Prognathodes falcifer	Yes	No	Yes
616	Pronotogrammus multifasciatus	Yes	No	Yes
617	Protomyctophum crockeri	Yes	Yes	Yes
618	Protomyctophum thompsoni	Yes	Yes	Yes
619	Psenes pellucidus	Yes	Yes	Yes
620	Psettichthys melanostictus	Yes	Yes	Yes
621	Pseudobathylagus milleri	Yes	Yes	Yes
622	Pseudobatos productus	Yes	No	Yes
623	Pseudopentaceros wheeleri	Yes	No	Yes
624	Pseudupeneus grandisquamis	Yes	No	Yes
625	Psychrolutes phrictus	Yes	Yes	Yes
626	Pteraclis aesticola	Yes	Yes	Yes
627	Pteroplatytrygon violacea	Yes	Yes	Yes
628	Ptilichthys goodei	No	Yes	Yes
629	Quietula y-cauda	Yes	No	Yes
630	Radiicephalus elongatus	No	No	No
631	Radulinus asprellus	Yes	Yes	Yes
632	Radulinus boleoides	No	No	No
633	Radulinus vinculus	No	No	No
634	Raja binoculata	Yes	Yes	Yes
635	Raja inornata	Yes	Yes	Yes
636	Raja rhina	Yes	Yes	Yes
637	Raja stellulata	Yes	No	Yes
638	Ranzania laevis	Yes	Yes	Yes
639	Rathbunella alleni	No	No	No
640	Rathbunella hypoplecta	Yes	No	Yes
641	Regalecus glesne	Yes	Yes	Yes
642	Regalecus russelii	No	Yes	Yes
643	Reinhardtius hippoglossoides	Yes	Yes	Yes
644	Remora australis	Yes	Yes	Yes
645	Remora brachyptera	Yes	Yes	Yes
646	Remora osteochir	Yes	Yes	Yes
647	Remora remora	Yes	Yes	Yes
648	Remorina albescens	Yes	Yes	Yes
649	Rhacochilus toxotes	Yes	No	Yes
650	Rhacochilus vacca	Yes	Yes	Yes
651	Rhamphocottus richardsonii	Yes	Yes	Yes
652	Rhincodon typus	Yes	Yes	Yes
653	Rhinogobiops nicholsii	Yes	No	Yes
654	Rhinogobius brunneus	No	Yes	Yes
655	Rhinoliparis attenuatus	No	Yes	Yes
656	Rhinoliparis barbulifer	Yes	Yes	Yes
657	Rhizoprionodon longurio	Yes	No	Yes
658	Rhynchohyalus natalensis	No	Yes	Yes
659	Rimicola cabrilloi	No	No	No
660	Rimicola dimorpha	No	No	No
661	Rimicola eigenmanni	No	No	No
662	Rimicola muscarum	Yes	No	Yes
663	Roncador stearnsii	Yes	No	Yes
664	Ronquilus jordani	No	Yes	Yes
665	Rosenblattichthys volucris	Yes	No	Yes
666	Ruscarius creaseri	Yes	No	Yes
667	Ruscarius meanyi	No	No	No
668	Ruvettus pretiosus	Yes	Yes	Yes
669	Saccopharynx lavenbergi	No	Yes	Yes
670	Sagamichthys abei	Yes	Yes	Yes
671	Sarda chiliensis	Yes	Yes	Yes
672	Sardinops sagax	Yes	Yes	Yes
673	Scomber japonicus	Yes	Yes	Yes
674	Scomberomorus concolor	Yes	Yes	Yes
675	Scomberomorus sierra	Yes	Yes	Yes
676	Scopelarchus analis	Yes	No	Yes
677	Scopelarchus guentheri	Yes	No	Yes
678	Scopelogadus mizolepis	Yes	Yes	Yes
679	Scopelosaurus harryi	Yes	Yes	Yes
680	Scorpaena guttata	Yes	No	Yes
681	Scorpaena mystes	Yes	No	Yes
682	Scorpaenichthys marmoratus	Yes	Yes	Yes
683	Scorpaenodes xyris	Yes	No	Yes
684	Scytalina cerdale	No	No	No
685	Sebastes aleutianus	No	Yes	Yes
686	Sebastes alutus	No	Yes	Yes
687	Sebastes atrovirens	No	No	No
688	Sebastes auriculatus	No	Yes	Yes
689	Sebastes aurora	No	No	No
690	Sebastes babcocki	Yes	Yes	Yes
691	Sebastes borealis	Yes	No	Yes
692	Sebastes brevispinis	No	No	No
693	Sebastes carnatus	No	No	No
694	Sebastes caurinus	No	Yes	Yes
695	Sebastes chlorostictus	No	No	No
696	Sebastes chrysomelas	No	No	No
697	Sebastes ciliatus	No	No	No
698	Sebastes constellatus	Yes	No	Yes
699	Sebastes crameri	No	Yes	Yes
700	Sebastes crocotulus	No	No	No
701	Sebastes dallii	No	No	No
702	Sebastes diaconus	No	No	No
703	Sebastes diploproa	Yes	Yes	Yes
704	Sebastes elongatus	No	No	No
705	Sebastes emphaeus	No	No	No
706	Sebastes ensifer	No	No	No
707	Sebastes entomelas	No	Yes	Yes
708	Sebastes eos	Yes	No	Yes
709	Sebastes flavidus	Yes	No	Yes
710	Sebastes gilli	Yes	No	Yes
711	Sebastes goodei	Yes	No	Yes
712	Sebastes helvomaculatus	No	No	No
713	Sebastes hopkinsi	No	No	No
714	Sebastes jordani	No	No	No
715	Sebastes lentiginosus	Yes	No	Yes
716	Sebastes levis	No	No	No
717	Sebastes macdonaldi	Yes	No	Yes
718	Sebastes maliger	No	Yes	Yes
719	Sebastes melanops	No	No	No
720	Sebastes melanosema	Yes	No	Yes
721	Sebastes melanostictus	No	No	No
722	Sebastes melanostomus	No	No	No
723	Sebastes miniatus	No	No	No
724	Sebastes moseri	No	No	No
725	Sebastes mystinus	No	Yes	Yes
726	Sebastes nebulosus	No	Yes	Yes
727	Sebastes nigrocinctus	No	Yes	Yes
728	Sebastes ovalis	No	No	No
729	Sebastes paucispinis	No	Yes	Yes
730	Sebastes phillipsi	Yes	No	Yes
731	Sebastes pinniger	No	No	No
732	Sebastes proriger	Yes	No	Yes
733	Sebastes rastrelliger	Yes	No	Yes
734	Sebastes reedi	Yes	No	Yes
735	Sebastes rosaceus	No	No	No
736	Sebastes rosenblatti	Yes	No	Yes
737	Sebastes ruberrimus	Yes	Yes	Yes
738	Sebastes rubrivinctus	No	Yes	Yes
739	Sebastes rufinanus	No	No	No
740	Sebastes rufus	Yes	No	Yes
741	Sebastes saxicola	Yes	Yes	Yes
742	Sebastes semicinctus	Yes	Yes	Yes
743	Sebastes serranoides	No	No	No
744	Sebastes serriceps	Yes	No	Yes
745	Sebastes simulator	No	No	No
746	Sebastes umbrosus	No	No	No
747	Sebastes variabilis	No	Yes	Yes
748	Sebastes variegatus	No	No	No
749	Sebastes wilsoni	Yes	No	Yes
750	Sebastes zacentrus	No	No	No
751	Sebastolobus alascanus	Yes	No	Yes
752	Sebastolobus altivelis	Yes	No	Yes
753	Sectator ocyurus	Yes	Yes	Yes
754	Selar crumenophthalmus	No	Yes	Yes
755	Selene brevoortii	Yes	No	Yes
756	Selene peruviana	Yes	No	Yes
757	Semicossyphus pulcher	Yes	Yes	Yes
758	Seriola lalandi	Yes	Yes	Yes
759	Seriola rivoliana	Yes	Yes	Yes
760	Seriphus politus	Yes	No	Yes
761	Serranus aequidens	No	No	No
762	Serrivomer jesperseni	Yes	Yes	Yes
763	Serrivomer sector	Yes	Yes	Yes
764	Sigmops ebelingi	No	No	No
765	Sigmops elongatum	No	No	No
766	Somniosus pacificus	Yes	Yes	Yes
767	Sphoeroides annulatus	Yes	Yes	Yes
768	Sphoeroides lobatus	Yes	No	Yes
769	Sphyraena argentea	Yes	No	Yes
770	Sphyraena ensis	Yes	No	Yes
771	Sphyrna lewini	Yes	Yes	Yes
772	Sphyrna tiburo	No	Yes	Yes
773	Sphyrna zygaena	Yes	Yes	Yes
774	Spirinchus starksi	Yes	Yes	Yes
775	Spirinchus thaleichthys	Yes	Yes	Yes
776	Squalus acanthias	Yes	Yes	Yes
777	Squalus suckleyi	No	Yes	Yes
778	Squatina californica	Yes	Yes	Yes
779	Stegastes leucorus	No	No	No
780	Stellerina xyosterna	Yes	Yes	Yes
781	Stemonosudis macrura	Yes	No	Yes
782	Stenobrachius leucopsarus	Yes	Yes	Yes
783	Stenobrachius nannochir	No	Yes	Yes
784	Stereolepis gigas	Yes	Yes	Yes
785	Sternoptyx diaphana	Yes	No	Yes
786	Sternoptyx obscura	Yes	No	Yes
787	Sternoptyx pseudobscura	Yes	No	Yes
788	Stomias atriventer	Yes	Yes	Yes
789	Strongylura exilis	Yes	No	Yes
790	Sudis atrox	Yes	No	Yes
791	Sufflamen verres	Yes	Yes	Yes
792	Symbolophorus californiensis	Yes	Yes	Yes
793	Symbolophorus evermanni	Yes	No	Yes
794	Symphurus atricaudus	Yes	No	Yes
795	Symphurus oligomerus	No	No	No
796	Synchiropus atrilabiatus	Yes	No	Yes
797	Synchirus gilli	Yes	Yes	Yes
798	Syngnathus auliscus	Yes	No	Yes
799	Syngnathus californiensis	Yes	No	Yes
800	Syngnathus euchrous	No	No	No
801	Syngnathus exilis	Yes	No	Yes
802	Syngnathus leptorhynchus	Yes	Yes	Yes
803	Synodus lacertinus	Yes	No	Yes
804	Synodus lucioceps	Yes	Yes	Yes
805	Taaningichthys bathyphilus	Yes	No	Yes
806	Taaningichthys minimus	No	Yes	Yes
807	Tactostoma macropus	Yes	Yes	Yes
808	Talismania bifurcata	Yes	Yes	Yes
809	Taractes asper	Yes	Yes	Yes
810	Taractichthys steindachneri	No	Yes	Yes
811	Tarletonbeania crenularis	Yes	No	Yes
812	Tetragonurus cuvieri	Yes	Yes	Yes
813	Tetrapturus angustirostris	Yes	Yes	Yes
814	Tetronarce californica	Yes	No	Yes
815	Thaleichthys pacificus	Yes	Yes	Yes
816	Thunnus alalunga	Yes	Yes	Yes
817	Thunnus albacares	Yes	Yes	Yes
818	Thunnus obesus	Yes	Yes	Yes
819	Thunnus orientalis	No	Yes	Yes
820	Trachinotus paitensis	Yes	No	Yes
821	Trachinotus rhodopus	Yes	No	Yes
822	Trachipterus altivelis	Yes	Yes	Yes
823	Trachipterus fukuzakii	No	No	No
824	Trachurus symmetricus	Yes	Yes	Yes
825	Triakis semifasciata	Yes	Yes	Yes
826	Trichiurus lepturus	Yes	Yes	Yes
827	Trichodon trichodon	Yes	Yes	Yes
828	Tridentiger barbatus	No	Yes	Yes
829	Tridentiger bifasciatus	No	Yes	Yes
830	Tridentiger trigonocephalus	No	Yes	Yes
831	Triphoturus mexicanus	Yes	Yes	Yes
832	Triphoturus nigrescens	Yes	Yes	Yes
833	Typhlogobius californiensis	Yes	No	Yes
834	Ulvicola sanctaerosae	No	No	No
835	Umbrina roncador	Yes	No	Yes
836	Uraspis helvola	Yes	Yes	Yes
837	Uraspis secunda	No	Yes	Yes
838	Urolophus halleri	Yes	No	Yes
839	Valenciennellus tripunctulatus	Yes	Yes	Yes
840	Vinciguerria lucetia	Yes	No	Yes
841	Vinciguerria nimbaria	Yes	Yes	Yes
842	Vinciguerria poweriae	Yes	No	Yes
843	Xanthichthys mento	Yes	Yes	Yes
844	Xeneretmus latifrons	No	Yes	Yes
845	Xeneretmus leiops	Yes	Yes	Yes
846	Xeneretmus ritteri	Yes	No	Yes
847	Xeneretmus triacanthus	No	No	No
848	Xenistius californiensis	Yes	No	Yes
849	Xenomystax atrarius	No	No	No
850	Xiphias gladius	Yes	Yes	Yes
851	Xiphister atropurpureus	Yes	Yes	Yes
852	Xiphister mucosus	Yes	Yes	Yes
853	Xystreurys liolepis	Yes	Yes	Yes
854	Zalembius rosaceus	Yes	No	Yes
855	Zalieutes elater	Yes	Yes	Yes
856	Zameus squamulosus	No	No	No
857	Zaniolepis frenata	Yes	Yes	Yes
858	Zaniolepis latipinnis	Yes	Yes	Yes
859	Zaprora silenus	Yes	Yes	Yes
860	Zapteryx exasperata	Yes	Yes	Yes
861	Zenopsis nebulosa	No	No	No
862	Zesticelus profundorum	Yes	No	Yes
863	Zu cristatus	Yes	Yes	Yes
