all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	sum taxonomy
forward_fishcard_12S_all_1131	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1132	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1133	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1134	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1135	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1136	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1137	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1138	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1139	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1140	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1141	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1142	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1143	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1144	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1145	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1146	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1147	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1148	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_fishcard_12S_all_1149	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1150	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1151	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1152	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1153	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;
forward_fishcard_12S_all_1154	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1155	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1156	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1157	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1158	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1159	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1160	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1161	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1162	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1163	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1164	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1165	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis;Engraulis mordax
forward_fishcard_12S_all_1166	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1167	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1168	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1169	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_1170	0	1	0	Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax
forward_fishcard_12S_all_1171	0	1	0	Eukaryota;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Chilara;Chilara taylori
forward_fishcard_12S_all_1172	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1173	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1174	0	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_1175	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1176	0	1	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Xystreurys;Xystreurys liolepis
forward_fishcard_12S_all_1177	0	1	0	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Paralichthys;Paralichthys californicus
forward_fishcard_12S_all_1178	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1179	0	1	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_fishcard_12S_all_1180	0	1	0	
forward_fishcard_12S_all_1181	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1182	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1183	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1184	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1185	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1186	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1187	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1188	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1189	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1190	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1191	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1192	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1193	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1194	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1195	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1196	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1197	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1198	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1199	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1200	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1201	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1202	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1203	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1204	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1205	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1206	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1207	0	1	0	
forward_fishcard_12S_all_1208	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1209	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1210	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1211	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1212	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1213	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1214	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1215	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1216	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1217	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1218	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1219	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1220	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1221	0	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_1222	0	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_1223	0	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_1224	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1225	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1226	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1227	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1228	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1229	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1230	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1231	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1232	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1233	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1234	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1235	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1236	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1237	0	1	0	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus
forward_fishcard_12S_all_1238	0	1	0	Eukaryota;Chordata;Actinopteri;;Pomacentridae;Hypsypops;Hypsypops rubicundus
forward_fishcard_12S_all_1239	0	1	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_1240	0	1	0	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_1241	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_fishcard_12S_all_1242	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;;
forward_fishcard_12S_all_1243	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_fishcard_12S_all_1244	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_fishcard_12S_all_1245	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1246	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1247	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1248	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1249	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1250	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni
forward_fishcard_12S_all_1251	0	1	0	
forward_fishcard_12S_all_1252	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1253	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1254	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1255	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1256	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis
forward_fishcard_12S_all_1257	0	1	0	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;;
forward_fishcard_12S_all_1258	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1259	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1260	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1261	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1262	0	1	0	Eukaryota;Chordata;Actinopteri;Blenniiformes;Clinidae;Heterostichus;Heterostichus rostratus
forward_fishcard_12S_all_1263	0	1	0	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella nigricans
forward_fishcard_12S_all_1264	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1265	0	1	0	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1266	0	1	0	
forward_fishcard_12S_all_1267	0	1	0	Eukaryota;Chordata;Actinopteri;;Embiotocidae;Brachyistius;Brachyistius frenatus
forward_fishcard_12S_all_1268	0	1	0	
forward_fishcard_12S_all_1269	0	0	1	
forward_fishcard_12S_all_1270	0	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_1271	0	0	1	Eukaryota;Chordata;Actinopteri;Pempheriformes;Polyprionidae;Stereolepis;Stereolepis gigas
forward_fishcard_12S_all_1272	0	0	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1273	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1274	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1275	0	0	1	
forward_fishcard_12S_all_1276	0	0	1	
forward_fishcard_12S_all_1277	0	0	1	
forward_fishcard_12S_all_1278	0	0	1	
forward_fishcard_12S_all_1279	0	0	1	
forward_fishcard_12S_all_1280	0	0	1	
forward_fishcard_12S_all_1281	0	0	1	
forward_fishcard_12S_all_1282	0	0	1	
forward_fishcard_12S_all_1283	0	0	1	
forward_fishcard_12S_all_1284	0	0	1	
forward_fishcard_12S_all_1285	0	0	1	
forward_fishcard_12S_all_1286	0	0	1	
forward_fishcard_12S_all_1287	0	0	1	
forward_fishcard_12S_all_1288	0	0	1	
forward_fishcard_12S_all_1289	0	0	1	
forward_fishcard_12S_all_1290	0	0	1	
forward_fishcard_12S_all_1291	0	0	1	
forward_fishcard_12S_all_1292	0	0	1	
forward_fishcard_12S_all_1293	0	0	1	
forward_fishcard_12S_all_1294	0	0	1	
forward_fishcard_12S_all_1295	0	0	1	
forward_fishcard_12S_all_1296	0	0	1	
forward_fishcard_12S_all_1297	0	0	1	
forward_fishcard_12S_all_1298	0	0	1	
forward_fishcard_12S_all_1299	0	0	1	
forward_fishcard_12S_all_1300	0	0	1	
forward_fishcard_12S_all_1301	0	0	1	
forward_fishcard_12S_all_1302	0	0	1	
forward_fishcard_12S_all_1303	0	0	1	
forward_fishcard_12S_all_1304	0	0	1	
forward_fishcard_12S_all_1305	0	0	1	
forward_fishcard_12S_all_1306	0	0	1	
forward_fishcard_12S_all_1307	0	0	1	
forward_fishcard_12S_all_1308	0	0	1	
forward_fishcard_12S_all_1309	0	0	1	
forward_fishcard_12S_all_1310	0	0	1	
forward_fishcard_12S_all_1311	0	0	1	
forward_fishcard_12S_all_1312	0	0	1	
forward_fishcard_12S_all_1313	0	0	1	
forward_fishcard_12S_all_1314	0	0	1	
forward_fishcard_12S_all_1315	0	0	1	
forward_fishcard_12S_all_1316	0	0	1	
forward_fishcard_12S_all_1317	0	0	1	
forward_fishcard_12S_all_1318	0	0	1	
forward_fishcard_12S_all_1319	0	0	1	
forward_fishcard_12S_all_1320	0	0	1	
forward_fishcard_12S_all_1321	0	0	1	
forward_fishcard_12S_all_1322	0	0	1	
forward_fishcard_12S_all_1323	0	0	1	
forward_fishcard_12S_all_1324	0	0	1	
forward_fishcard_12S_all_1325	0	0	1	
forward_fishcard_12S_all_1326	0	0	1	
forward_fishcard_12S_all_1327	0	0	1	
forward_fishcard_12S_all_1328	0	0	1	
forward_fishcard_12S_all_1329	0	0	1	
forward_fishcard_12S_all_1330	0	0	1	
forward_fishcard_12S_all_1331	0	0	1	
forward_fishcard_12S_all_1332	0	0	1	
forward_fishcard_12S_all_1333	0	0	1	
forward_fishcard_12S_all_1334	0	0	1	
forward_fishcard_12S_all_1335	0	0	1	
forward_fishcard_12S_all_1336	0	0	1	
forward_fishcard_12S_all_1337	0	0	1	
forward_fishcard_12S_all_1338	0	0	1	
forward_fishcard_12S_all_1339	0	0	1	
forward_fishcard_12S_all_1340	0	0	1	
forward_fishcard_12S_all_1341	0	0	1	
forward_fishcard_12S_all_1342	0	0	1	
forward_fishcard_12S_all_1343	0	0	1	
forward_fishcard_12S_all_1344	0	0	1	
forward_fishcard_12S_all_1345	0	0	1	
forward_fishcard_12S_all_1346	0	0	1	
forward_fishcard_12S_all_1347	0	0	1	
forward_fishcard_12S_all_1348	0	0	1	
forward_fishcard_12S_all_1349	0	0	1	
forward_fishcard_12S_all_1350	0	0	1	
forward_fishcard_12S_all_1351	0	0	1	
forward_fishcard_12S_all_1352	0	0	1	
forward_fishcard_12S_all_1353	0	0	1	
forward_fishcard_12S_all_1354	0	0	1	
forward_fishcard_12S_all_1355	0	0	1	
forward_fishcard_12S_all_1356	0	0	1	
forward_fishcard_12S_all_1357	0	0	1	
forward_fishcard_12S_all_1358	0	0	1	
forward_fishcard_12S_all_1359	0	0	1	
forward_fishcard_12S_all_1360	0	0	1	
forward_fishcard_12S_all_1361	0	0	1	
forward_fishcard_12S_all_1362	0	0	1	
forward_fishcard_12S_all_1363	0	0	1	
forward_fishcard_12S_all_1364	0	0	1	
forward_fishcard_12S_all_1365	0	0	1	
forward_fishcard_12S_all_1366	0	0	1	
forward_fishcard_12S_all_1367	0	0	1	
forward_fishcard_12S_all_1368	0	0	1	
forward_fishcard_12S_all_1369	0	0	1	
forward_fishcard_12S_all_1370	0	0	1	
forward_fishcard_12S_all_1371	0	0	1	
forward_fishcard_12S_all_1372	0	0	1	
forward_fishcard_12S_all_1373	0	0	1	
forward_fishcard_12S_all_1374	0	0	1	
forward_fishcard_12S_all_1375	0	0	1	
forward_fishcard_12S_all_1376	0	0	1	
forward_fishcard_12S_all_1377	0	0	1	
forward_fishcard_12S_all_1378	0	0	1	
forward_fishcard_12S_all_1379	0	0	1	
forward_fishcard_12S_all_1380	0	0	1	
forward_fishcard_12S_all_1381	0	0	1	
forward_fishcard_12S_all_1382	0	0	1	
forward_fishcard_12S_all_1383	0	0	1	
forward_fishcard_12S_all_1384	0	0	1	
forward_fishcard_12S_all_1385	0	0	1	
forward_fishcard_12S_all_1386	0	0	1	
forward_fishcard_12S_all_1387	0	0	1	
forward_fishcard_12S_all_1388	0	0	1	
forward_fishcard_12S_all_1389	0	0	1	
forward_fishcard_12S_all_1390	0	0	1	
forward_fishcard_12S_all_1391	0	0	1	
forward_fishcard_12S_all_1392	0	0	1	
forward_fishcard_12S_all_1393	0	0	1	
forward_fishcard_12S_all_1394	0	0	1	
forward_fishcard_12S_all_1395	0	0	1	
forward_fishcard_12S_all_1396	0	0	1	
forward_fishcard_12S_all_1397	0	0	1	
forward_fishcard_12S_all_1398	0	0	1	
forward_fishcard_12S_all_1399	0	0	1	
forward_fishcard_12S_all_1400	0	0	1	
forward_fishcard_12S_all_1401	0	0	1	
forward_fishcard_12S_all_1402	0	0	1	
forward_fishcard_12S_all_1403	0	0	1	
forward_fishcard_12S_all_1404	0	0	1	
forward_fishcard_12S_all_1405	0	0	1	
forward_fishcard_12S_all_1406	0	0	1	
forward_fishcard_12S_all_1407	0	0	1	
forward_fishcard_12S_all_1408	0	0	1	
forward_fishcard_12S_all_1409	0	0	1	
forward_fishcard_12S_all_1410	0	0	1	
forward_fishcard_12S_all_1411	0	0	1	
forward_fishcard_12S_all_1412	0	0	1	
forward_fishcard_12S_all_1413	0	0	1	
forward_fishcard_12S_all_1414	0	0	1	
forward_fishcard_12S_all_1415	0	0	1	
forward_fishcard_12S_all_1416	0	0	1	
forward_fishcard_12S_all_1417	0	0	1	
forward_fishcard_12S_all_1418	0	0	1	
forward_fishcard_12S_all_1419	0	0	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
forward_fishcard_12S_all_1420	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1421	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1422	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1423	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1424	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1425	0	0	1	Eukaryota;Chordata;Actinopteri;;Sphyraenidae;Sphyraena;Sphyraena argentea
forward_fishcard_12S_all_1426	0	0	1	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher
forward_fishcard_12S_all_1427	0	0	1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Paralabrax;Paralabrax clathratus
