Oct2019_seq_number	X12S_Oct2019_LSC.B.1.S22.L001	X12S_Oct2019_PP.B.1.S4.L001	X12S_Oct2019_PedRF.B.1.S13.L001	sum taxonomy
forward_12S_Oct2019_275	1	0	0	
forward_12S_Oct2019_276	1	0	0	
forward_12S_Oct2019_277	1	0	0	
forward_12S_Oct2019_278	1	0	0	
forward_12S_Oct2019_279	1	0	0	
forward_12S_Oct2019_280	1	0	0	
forward_12S_Oct2019_281	1	0	0	
forward_12S_Oct2019_282	1	0	0	
forward_12S_Oct2019_283	1	0	0	
forward_12S_Oct2019_284	1	0	0	
forward_12S_Oct2019_285	1	0	0	
forward_12S_Oct2019_286	1	0	0	
forward_12S_Oct2019_287	1	0	0	
forward_12S_Oct2019_288	1	0	0	
forward_12S_Oct2019_289	1	0	0	
forward_12S_Oct2019_290	1	0	0	
forward_12S_Oct2019_291	1	0	0	
forward_12S_Oct2019_292	1	0	0	
forward_12S_Oct2019_293	1	0	0	
forward_12S_Oct2019_294	1	0	0	
forward_12S_Oct2019_295	1	0	0	
forward_12S_Oct2019_296	1	0	0	
forward_12S_Oct2019_297	1	0	0	
forward_12S_Oct2019_298	1	0	0	
forward_12S_Oct2019_299	1	0	0	
forward_12S_Oct2019_300	1	0	0	
forward_12S_Oct2019_301	1	0	0	
forward_12S_Oct2019_302	1	0	0	
forward_12S_Oct2019_303	1	0	0	
forward_12S_Oct2019_304	1	0	0	
forward_12S_Oct2019_305	1	0	0	
forward_12S_Oct2019_306	1	0	0	
forward_12S_Oct2019_307	1	0	0	
forward_12S_Oct2019_308	1	0	0	
forward_12S_Oct2019_309	1	0	0	
forward_12S_Oct2019_310	1	0	0	
forward_12S_Oct2019_311	1	0	0	
forward_12S_Oct2019_312	1	0	0	
forward_12S_Oct2019_313	1	0	0	
forward_12S_Oct2019_314	1	0	0	
forward_12S_Oct2019_315	1	0	0	
forward_12S_Oct2019_316	1	0	0	
forward_12S_Oct2019_317	1	0	0	
forward_12S_Oct2019_318	1	0	0	
forward_12S_Oct2019_319	1	0	0	
forward_12S_Oct2019_320	1	0	0	
forward_12S_Oct2019_321	1	0	0	
forward_12S_Oct2019_322	1	0	0	
forward_12S_Oct2019_323	1	0	0	
forward_12S_Oct2019_324	1	0	0	
forward_12S_Oct2019_325	1	0	0	
forward_12S_Oct2019_326	1	0	0	
forward_12S_Oct2019_327	1	0	0	
forward_12S_Oct2019_328	1	0	0	
forward_12S_Oct2019_329	1	0	0	
forward_12S_Oct2019_330	1	0	0	
forward_12S_Oct2019_331	1	0	0	
forward_12S_Oct2019_332	1	0	0	
forward_12S_Oct2019_333	1	0	0	
forward_12S_Oct2019_334	1	0	0	
forward_12S_Oct2019_335	1	0	0	
forward_12S_Oct2019_336	1	0	0	
forward_12S_Oct2019_337	1	0	0	
forward_12S_Oct2019_338	1	0	0	
forward_12S_Oct2019_339	1	0	0	
forward_12S_Oct2019_340	1	0	0	
forward_12S_Oct2019_341	1	0	0	
forward_12S_Oct2019_342	1	0	0	
forward_12S_Oct2019_343	1	0	0	
forward_12S_Oct2019_344	1	0	0	
forward_12S_Oct2019_345	1	0	0	
forward_12S_Oct2019_346	1	0	0	
forward_12S_Oct2019_347	1	0	0	
forward_12S_Oct2019_348	1	0	0	
forward_12S_Oct2019_349	1	0	0	
forward_12S_Oct2019_350	1	0	0	
forward_12S_Oct2019_351	1	0	0	
forward_12S_Oct2019_352	1	0	0	
forward_12S_Oct2019_353	1	0	0	
forward_12S_Oct2019_354	1	0	0	
forward_12S_Oct2019_355	1	0	0	
forward_12S_Oct2019_356	1	0	0	
forward_12S_Oct2019_357	1	0	0	
forward_12S_Oct2019_358	1	0	0	
forward_12S_Oct2019_359	1	0	0	
forward_12S_Oct2019_360	1	0	0	
forward_12S_Oct2019_361	1	0	0	
forward_12S_Oct2019_362	1	0	0	
forward_12S_Oct2019_363	1	0	0	
forward_12S_Oct2019_364	1	0	0	
forward_12S_Oct2019_365	1	0	0	
forward_12S_Oct2019_366	1	0	0	
forward_12S_Oct2019_367	1	0	0	
forward_12S_Oct2019_368	1	0	0	
forward_12S_Oct2019_369	1	0	0	
forward_12S_Oct2019_370	1	0	0	
forward_12S_Oct2019_371	1	0	0	
forward_12S_Oct2019_372	1	0	0	
forward_12S_Oct2019_373	1	0	0	
forward_12S_Oct2019_374	1	0	0	
forward_12S_Oct2019_375	1	0	0	
forward_12S_Oct2019_376	1	0	0	
forward_12S_Oct2019_377	1	0	0	
forward_12S_Oct2019_378	1	0	0	
forward_12S_Oct2019_379	1	0	0	
forward_12S_Oct2019_380	1	0	0	
forward_12S_Oct2019_381	1	0	0	
forward_12S_Oct2019_382	1	0	0	
forward_12S_Oct2019_383	1	0	0	
forward_12S_Oct2019_384	1	0	0	
forward_12S_Oct2019_385	1	0	0	
forward_12S_Oct2019_386	1	0	0	
forward_12S_Oct2019_387	1	0	0	
forward_12S_Oct2019_388	1	0	0	
forward_12S_Oct2019_389	1	0	0	
forward_12S_Oct2019_390	1	0	0	
forward_12S_Oct2019_391	1	0	0	
forward_12S_Oct2019_392	1	0	0	
forward_12S_Oct2019_393	1	0	0	
forward_12S_Oct2019_394	1	0	0	
forward_12S_Oct2019_395	1	0	0	
forward_12S_Oct2019_396	1	0	0	
forward_12S_Oct2019_397	1	0	0	
forward_12S_Oct2019_398	1	0	0	
forward_12S_Oct2019_399	1	0	0	
forward_12S_Oct2019_400	1	0	0	
forward_12S_Oct2019_401	1	0	0	
forward_12S_Oct2019_402	1	0	0	
forward_12S_Oct2019_403	1	0	0	
forward_12S_Oct2019_404	1	0	0	
forward_12S_Oct2019_405	1	0	0	
forward_12S_Oct2019_406	1	0	0	
forward_12S_Oct2019_407	1	0	0	
forward_12S_Oct2019_408	1	0	0	
forward_12S_Oct2019_409	1	0	0	
forward_12S_Oct2019_410	1	0	0	
forward_12S_Oct2019_411	1	0	0	
forward_12S_Oct2019_412	1	0	0	
forward_12S_Oct2019_413	1	0	0	
forward_12S_Oct2019_414	1	0	0	
forward_12S_Oct2019_415	1	0	0	
forward_12S_Oct2019_416	1	0	0	
forward_12S_Oct2019_417	1	0	0	
forward_12S_Oct2019_418	1	0	0	
forward_12S_Oct2019_419	1	0	0	
forward_12S_Oct2019_420	1	0	0	
forward_12S_Oct2019_421	1	0	0	
forward_12S_Oct2019_422	1	0	0	
forward_12S_Oct2019_423	1	0	0	
forward_12S_Oct2019_424	1	0	0	
forward_12S_Oct2019_425	1	0	0	
forward_12S_Oct2019_426	1	0	0	
forward_12S_Oct2019_427	1	0	0	
forward_12S_Oct2019_428	1	0	0	
forward_12S_Oct2019_429	1	0	0	
forward_12S_Oct2019_430	1	0	0	
forward_12S_Oct2019_431	1	0	0	
forward_12S_Oct2019_432	1	0	0	
forward_12S_Oct2019_433	1	0	0	
forward_12S_Oct2019_434	1	0	0	
forward_12S_Oct2019_435	1	0	0	
