all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_23	6	2	1	not_found		
forward_fishcard_12S_all_24	8	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Blenniiformes;family:Chaenopsidae;genus:Chaenopsis;species:Chaenopsis alepidota;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_241.1
forward_fishcard_12S_all_25	5	2	1	not_found		
forward_fishcard_12S_all_26	5	1	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_27	7	0	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:54.8333333333;species:54.8333333333;	FISHCARD_miu_292.1;FISHCARD_miu_165.1;AY279632.1;KY815300.1
forward_fishcard_12S_all_28	5	1	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Sphyraenidae;genus:Sphyraena;species:Sphyraena argentea;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_011.1
forward_fishcard_12S_all_29	5	0	1	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:;family:Malacanthidae;genus:Caulolatilus;species:Caulolatilus princeps;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_301.1;FISHCARD_miu_083.1
forward_fishcard_12S_all_30	4	2	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Clupeiformes;family:Engraulidae;genus:Engraulis;species:Engraulis mordax;	superkingdom:100.0;phylum:100.0;class:100.0;order:80.0;family:80.0;genus:80.0;species:80.0;	LC091576.1;LC091575.1;NC_041097.1;FISHCARD_miu_020.1;FISHCARD_miu_660.1;FISHCARD_miu_267.1;FISHCARD_miu_268.1
forward_fishcard_12S_all_31	2	2	2	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Oxyjulis;species:Oxyjulis californica;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:56.8333333333;species:56.8333333333;	FISHCARD_miu_165.1;FISHCARD_miu_292.1;AY279632.1;KY815300.1
forward_fishcard_12S_all_32	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Centrarchiformes;family:Kyphosidae;genus:Girella;species:Girella nigricans;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:100.0;	FISHCARD_miu_289.1;KC136546.1
forward_fishcard_12S_all_33	0	2	4	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Atheriniformes;family:Atherinopsidae;genus:Atherinops;species:Atherinops affinis;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:91.75;species:91.75;	FISHCARD_miu_202.1;MN181432.1;FISHCARD_miu_035.1;NC_044649.1
