all_seq_number	fishcard_12S_all_LSC.B.1.S22.L001	fishcard_12S_all_PP.B.1.S4.L001	fishcard_12S_all_PedRF.B.1.S13.L001	taxonomy	taxonomy_confidence	accessions
forward_fishcard_12S_all_1088	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax nebulifer;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:47.9523809524;	FISHCARD_miu_678.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_365.1;FISHCARD_miu_688.1;FISHCARD_miu_692.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1
forward_fishcard_12S_all_1089	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:99.9090909091;family:99.9090909091;genus:99.9090909091;species:95.0727272727;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_348.1;FISHCARD_miu_568.1;FISHCARD_miu_395.1;FISHCARD_miu_343.1;DQ336169.1
forward_fishcard_12S_all_1090	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.3;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1
forward_fishcard_12S_all_1091	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.1;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1092	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.4;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1093	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:92.8;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1094	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.35;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1095	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.5;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1
forward_fishcard_12S_all_1096	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.85;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1097	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.55;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1098	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.75;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1
forward_fishcard_12S_all_1099	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:87.3666666667;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1
forward_fishcard_12S_all_1100	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Labriformes;family:Labridae;genus:Halichoeres;species:Halichoeres semicinctus;	superkingdom:100.0;phylum:100.0;class:100.0;order:69.8;family:69.8;genus:35.0666666667;species:35.0666666667;	FISHCARD_miu_292.1;KY815300.1;FISHCARD_miu_165.1;AY279632.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_348.1;FISHCARD_miu_552.1;FISHCARD_miu_299.1;KC422441.1;FISHCARD_miu_568.1;FISHCARD_miu_333.1;FISHCARD_miu_343.1;DQ336169.1;KT724723.1;LC278263.1;FISHCARD_miu_108.1;AP004425.1;LC026573.1;FISHCARD_miu_136.1;LC091924.1;LC458383.1;LC021287.1;FISHCARD_miu_418.1;FISHCARD_miu_397.1;AF055607.1;FISHCARD_miu_140.1;AP012499.1;KC878729.1;LC385311.1
forward_fishcard_12S_all_1101	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.3;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_348.1;DQ336169.1;FISHCARD_miu_343.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1102	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.5;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1103	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.6;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1104	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.05;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1
forward_fishcard_12S_all_1105	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.3;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1106	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:91.8;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1
forward_fishcard_12S_all_1107	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:86.0;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_364.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1108	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.1;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1;FISHCARD_miu_568.1
forward_fishcard_12S_all_1109	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:98.25;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1110	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.4;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1
forward_fishcard_12S_all_1111	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.05;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1
forward_fishcard_12S_all_1112	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.15;	FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1
forward_fishcard_12S_all_1113	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.75;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1114	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.05;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1
forward_fishcard_12S_all_1115	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:93.25;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1116	0	1	0	Unclassified		
forward_fishcard_12S_all_1117	0	1	0	Unclassified		
forward_fishcard_12S_all_1118	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.35;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1119	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.85;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1
forward_fishcard_12S_all_1120	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.75;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1121	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:79.0333333333;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_699.1;FISHCARD_miu_364.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1122	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.6;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1123	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.6;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1124	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.4;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1125	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:92.75;	FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_364.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_683.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1126	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:94.35;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1127	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.05;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_348.1;FISHCARD_miu_395.1
forward_fishcard_12S_all_1128	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.0;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_678.1;FISHCARD_miu_688.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1
forward_fishcard_12S_all_1129	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.8;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_683.1;FISHCARD_miu_348.1
forward_fishcard_12S_all_1130	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.4;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1;FISHCARD_miu_676.1
forward_fishcard_12S_all_1131	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:96.1;	FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1
forward_fishcard_12S_all_1132	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:97.3;	FISHCARD_miu_365.1;FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_364.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1;FISHCARD_miu_678.1;FISHCARD_miu_580.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1
forward_fishcard_12S_all_1133	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.85;	FISHCARD_miu_686.1;FISHCARD_miu_692.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_688.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_699.1;FISHCARD_miu_676.1
forward_fishcard_12S_all_1134	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.8;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_683.1;FISHCARD_miu_699.1;FISHCARD_miu_580.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_688.1
forward_fishcard_12S_all_1135	0	1	0	superkingdom:Eukaryota;phylum:Chordata;class:Actinopteri;order:Perciformes;family:Serranidae;genus:Paralabrax;species:Paralabrax clathratus;	superkingdom:100.0;phylum:100.0;class:100.0;order:100.0;family:100.0;genus:100.0;species:95.3;	FISHCARD_miu_692.1;FISHCARD_miu_686.1;FISHCARD_miu_365.1;FISHCARD_miu_364.1;FISHCARD_miu_699.1;FISHCARD_miu_683.1;FISHCARD_miu_678.1;FISHCARD_miu_676.1;FISHCARD_miu_580.1;FISHCARD_miu_688.1
